bus_id,latitude,longitude
1,41.35953108,-113.9587282
2,41.35624574,-113.9108087
3,41.31720175,-114.0116717
4,41.33780758,-113.965764
5,41.33164022,-113.9331631
6,41.32036553,-113.8648405
7,41.34585723,-113.8508694
8,41.32919294,-113.8982622
9,41.31286796,-113.9445953
10,41.31286796,-113.9445953
11,41.31286796,-113.9445953
12,41.31286796,-113.9445953
13,41.25904844,-113.8511479
14,41.26150621,-113.9136959
15,41.26882608,-113.9522863
16,41.24261203,-113.9295296
17,41.19566804,-113.9215355
18,41.15032885,-113.9118462
19,41.22114052,-113.9009849
20,41.21684919,-113.8608638
21,41.14955029,-113.8517929
22,41.18545155,-113.8138048
23,41.21560551,-113.8147686
24,41.31720175,-114.0116717
